,FpDensityMorgan1,HeavyAtomMolWt,MaxAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Chi0n,Chi1v,Chi2v,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumHBA,NumHBD,NumHeteroatoms,NumLipinskiHBA,NumRings,NumSaturatedHeterocycles,BertzCT,"('[#6]~[#16]~[#7]', 0)","('[#16R]', 0)","('[#7]~[#6](~[#8])~[#7]', 0)","('[#7]~[#6](~[#6])~[#7]', 0)","('F', 0)","('[!#6;!#1;!H0]~*~[!#6;!#1;!H0]', 0)","('Br', 0)","('[#16]~*~[#7]', 0)","('[#7]~[#7]', 0)","('[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]', 0)","('[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]', 0)","('[#8]~[#16]~[#8]', 0)","('[#8R]', 0)","('*@*!@*@*', 0)","('*@*!@[#16]', 0)","('c:n', 0)","('[#6]~[#6](~[#6])(~[#6])~*', 0)","('[!#6;!#1]~[!#6;!#1;!H0]', 0)","('[#7]~[#8]', 0)","('[#8]~*~*~[#8]', 0)","('*!@[#7]@*', 0)","('[#7]~*~[#7]', 0)","('[#7]~*~*~[#7]', 0)","('[#7]~*~*~*~[#7]', 0)","('[!#6;!#1]1~*~*~*~*~1', 0)","('[#6]~[#7](~[#6])~[#6]', 0)","('[F,Cl,Br,I]!@*@*', 0)","('[#8]~*~*~*~[#8]', 0)","('[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]', 0)","('[$([!#6;!#1;!H0]~*~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~*~[R]1@[R]@[CH2;R]1)]', 0)","('[#8]~[#6](~[#7])~[#6]', 0)","('[!#6;!#1]~[CH3]', 0)","('*~[CH2]~[#7]', 0)","('[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]', 0)","('[#7]~*~[CH2]~*', 0)","('[CH3]~[CH2]~*', 0)","('[CH3]~*~[CH2]~*', 0)","('[!#6;R]', 1)","('[#7;R]', 0)","('*!@[#8]!@*', 0)","('[#8]~*~[CH2]~*', 0)","('[O;!H0]', 0)","('[CH3]', 2)","('*1~*~*~*~*~*~1', 1)","('[#8]', 2)","('[C;H3,H4]', 1)","('[#8]~[#6](~[#6])~[#6]', 0)","('[!#6;!#1]~[CH2]~*', 0)","('[C;H3,H4]', 0)",Halogen bond donor
0,1.4166666666666667,449.14500000000015,0.2930803107689732,-0.2930803107689732,461.24100000000016,126.0,12.570247788586922,9.251298482906845,8.360556806948965,0.23076923076923078,-1.8599999999999999,16.97903685282414,5.894711274032771,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,11.0,9.0,3.0,0.0,955.0217025785356,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1
1,1.16,570.0609999999999,0.3233130069454153,-0.3233130069454153,582.1570000000002,130.0,12.863186147354737,10.701952943189331,9.771363177517154,0.125,-1.0499999999999998,18.732518627418223,6.928164194604956,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,9.0,6.0,3.0,0.0,991.3792783178168,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
2,1.0769230769230769,696.9649999999999,0.3233117448488752,-0.3233117448488752,708.0530000000001,136.0,13.163800351174338,11.880367927805064,11.161317341444274,0.125,-0.31999999999999984,20.415177419893748,7.597307940612514,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,10.0,6.0,3.0,0.0,1039.7855307075029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
3,1.08,570.0610000000001,0.32428623774254073,-0.32428623774254073,582.1570000000002,130.0,12.863186147354737,10.695969879045622,9.881851461091676,0.125,-1.0499999999999994,18.732518627418223,6.928164194604956,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,9.0,6.0,3.0,0.0,974.1292783178168,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
4,1.1666666666666667,443.1570000000002,0.3242874782274134,-0.3242874782274134,456.26100000000014,124.0,12.562571943535136,9.517554894429889,8.495351620858505,0.125,-1.7799999999999994,17.056367157374492,6.262603905326708,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,8.0,6.0,3.0,0.0,928.3485265339731,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
5,1.4166666666666667,449.14500000000015,0.2939087644513953,-0.2939087644513953,461.24100000000016,126.0,12.570247788586922,9.255381525504477,8.329728037079583,0.23076923076923078,-2.0199999999999996,16.82442762630243,5.80612699624896,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,11.0,9.0,3.0,0.0,955.0217025785356,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
6,1.16,570.0609999999999,0.3241369108806413,-0.3241369108806413,582.1570000000002,130.0,12.863186147354737,10.706035985786963,9.740534407647772,0.125,-1.21,18.577206477708444,6.834565458983867,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,9.0,6.0,3.0,0.0,991.3792783178168,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
7,1.0769230769230769,696.9649999999999,0.32413564878907164,-0.32413564878907164,708.0530000000001,136.0,13.163800351174338,11.884450970402696,11.130488571574892,0.125,-0.4800000000000001,20.25931432531098,7.502544653879883,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,10.0,6.0,3.0,0.0,1039.7855307075029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
8,1.08,570.0610000000001,0.3251072775536342,-0.3251072775536342,582.1570000000002,130.0,12.863186147354737,10.700052921643254,9.851022691222294,0.125,-1.2099999999999995,18.577206477708444,6.834565458983867,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,9.0,6.0,3.0,0.0,974.1292783178168,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
9,1.1666666666666667,443.1570000000002,0.3251085180323803,-0.3251085180323803,456.26100000000014,124.0,12.562571943535136,9.52163793702752,8.464522850989121,0.125,-1.9399999999999995,16.901723621121764,6.170344247117248,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,8.0,6.0,3.0,0.0,928.3485265339731,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
10,1.4090909090909092,403.07100000000014,0.3885661484131062,-0.3885661484131062,412.14300000000014,112.0,11.214785902623099,7.286838574749374,5.839253819364831,0.15384615384615385,-2.2999999999999994,14.62951644757799,5.478890665768873,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,9.0,8.0,3.0,0.0,801.0878197845353,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
11,1.0869565217391304,523.9870000000002,0.3885661578341494,-0.3885661578341494,533.0590000000002,116.0,11.507724261390914,8.737493035031857,7.250060189933019,0.0625,-1.4899999999999993,16.370670708374817,6.555265416791325,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,7.0,5.0,3.0,0.0,834.5799902948735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
