CHEMBLID,FpDensityMorgan1,HeavyAtomMolWt,MaxAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Chi0n,Chi1v,Chi2v,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumHBA,NumHBD,NumHeteroatoms,NumLipinskiHBA,NumRings,NumSaturatedHeterocycles,BertzCT,Halogen bond donor,"('[#6]~[#16]~[#7]', 0)","('[#16R]', 0)","('[#7]~[#6](~[#8])~[#7]', 0)","('[#7]~[#6](~[#6])~[#7]', 0)","('F', 0)","('[!#6;!#1;!H0]~*~[!#6;!#1;!H0]', 0)","('Br', 0)","('[#16]~*~[#7]', 0)","('[#7]~[#7]', 0)","('[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]', 0)","('[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]', 0)","('[#8]~[#16]~[#8]', 0)","('[#8R]', 0)","('*@*!@*@*', 0)","('*@*!@[#16]', 0)","('c:n', 0)","('[#6]~[#6](~[#6])(~[#6])~*', 0)","('[!#6;!#1]~[!#6;!#1;!H0]', 0)","('[#7]~[#8]', 0)","('[#8]~*~*~[#8]', 0)","('*!@[#7]@*', 0)","('[#7]~*~[#7]', 0)","('[#7]~*~*~[#7]', 0)","('[#7]~*~*~*~[#7]', 0)","('[!#6;!#1]1~*~*~*~*~1', 0)","('[#6]~[#7](~[#6])~[#6]', 0)","('[F,Cl,Br,I]!@*@*', 0)","('[#8]~*~*~*~[#8]', 0)","('[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]', 0)","('[$([!#6;!#1;!H0]~*~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~*~[R]1@[R]@[CH2;R]1)]', 0)","('[#8]~[#6](~[#7])~[#6]', 0)","('[!#6;!#1]~[CH3]', 0)","('*~[CH2]~[#7]', 0)","('[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]', 0)","('[#7]~*~[CH2]~*', 0)","('[CH3]~[CH2]~*', 0)","('[CH3]~*~[CH2]~*', 0)","('[!#6;R]', 1)","('[#7;R]', 0)","('*!@[#8]!@*', 0)","('[#8]~*~[CH2]~*', 0)","('[O;!H0]', 0)","('[CH3]', 2)","('*1~*~*~*~*~*~1', 1)","('[#8]', 2)","('[C;H3,H4]', 1)","('[#8]~[#6](~[#6])~[#6]', 0)","('[!#6;!#1]~[CH2]~*', 0)","('[C;H3,H4]', 0)"
CHEMBL366429,1.3333333333333333,350.3160000000001,0.3001488811894115,-0.3001488811894115,365.4360000000001,126.0,13.230668279731226,9.334365603297696,8.7536633407953,0.26666666666666666,-2.0999999999999996,16.747149034505696,5.762010150305275,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,9.0,7.0,3.0,0.0,949.3788129525155,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHEMBL176216,1.0357142857142858,446.6340000000002,0.3237712311473136,-0.3237712311473136,459.73800000000006,146.0,14.155364182737058,10.909578827840823,9.662276769588189,0.2222222222222222,-1.7999999999999994,19.513567273409645,6.914285714285713,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,10.0,6.0,4.0,0.0,1115.8089513490102,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CHEMBL174680,0.9629629629629629,364.2970000000001,0.3242874753046079,-0.3242874753046079,380.42500000000007,136.0,14.416658278094786,9.749823512337112,8.269072591526193,0.1,-3.0299999999999994,17.387139218255523,6.29423814530149,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,4.0,1.0,7.0,6.0,4.0,0.0,1173.0657996047732,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
CHEMBL176357,1.2962962962962963,409.79100000000017,0.3088832953011573,-0.3088832953011573,421.88700000000017,138.0,13.840683560309332,10.401312312811536,9.316038768144688,0.11764705882352941,-2.33,18.052915404577863,6.378740203356052,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,10.0,7.0,4.0,0.0,1191.6138281637768,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
CHEMBL369840,1.0740740740740742,458.0650000000002,0.32377043309140235,-0.32377043309140235,468.14500000000015,142.0,13.464414554993938,10.271693392990109,9.19686503408181,0.125,-1.5099999999999985,20.230095177968085,7.144568481501947,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,11.0,6.0,3.0,0.0,1088.068127132235,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
CHEMBL262701,1.1538461538461537,374.33800000000014,0.3001213903833842,-0.3001213903833842,387.4420000000001,132.0,13.54006935648973,9.927765043372368,8.756763664922936,0.11764705882352941,-2.6199999999999997,16.827325236052538,5.974402957791849,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,1.0,9.0,7.0,4.0,0.0,1120.5341979425023,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
CHEMBL369226,1.3333333333333333,429.8470000000002,0.3001483898271582,-0.3001483898271582,441.9430000000001,140.0,14.016881043204316,11.126057184203127,10.611897831553131,0.1875,-1.8499999999999996,18.51038540046503,6.348974992917664,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,7.0,1.0,11.0,7.0,4.0,0.0,1214.9513138448483,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
CHEMBL174877,1.1818181818181819,296.266,0.3100188352091555,-0.3100188352091555,312.394,112.0,12.368110889598183,7.846849656921471,7.3993127148093025,0.23529411764705882,-2.1399999999999997,14.782990769673768,5.571465932492148,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,4.0,3.0,0.0,728.4486137301519,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CHEMBL367858,1.4,366.31500000000005,0.4967212733489285,-0.4967212733489285,381.43500000000006,132.0,13.638916570195088,9.446738038993491,8.616139477233121,0.26666666666666666,-2.2999999999999994,17.520698585454607,6.208382909680908,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,10.0,8.0,3.0,0.0,967.2964909801478,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHEMBL265405,1.2916666666666667,353.70200000000006,0.30888378657432997,-0.30888378657432997,365.79800000000006,124.0,12.432435269845469,8.676567441419948,7.535107678905203,0.13333333333333333,-2.29,16.56368311494811,5.9701408656909605,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,9.0,7.0,3.0,0.0,930.9902800976816,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
